Employee_ID,Late_Count,Leave_Days,Working_Hours,Overtime_Hours
101,2,1,8,2
102,15,10,5,0
103,1,0,9,3
104,20,12,4,0
105,3,2,8,2
106,18,8,5,1
107,0,1,9,4
108,4,2,8,3
109,25,15,3,0
110,2,1,9,4
111,12,6,6,1
112,1,0,8,2
113,3,1,8,3
114,17,9,5,0
115,2,2,9,4
116,5,3,8,2
117,22,14,4,0
118,1,1,9,3
119,8,4,7,1
120,3,2,8,2
121,19,11,5,0
122,0,0,9,5
123,4,1,8,3
124,14,7,6,1
125,2,1,9,4
126,6,3,7,2
127,21,13,4,0
128,1,0,8,3
129,9,5,7,1
130,3,2,9,2
131,16,8,5,0
132,2,1,8,3
133,5,2,8,2
134,24,15,3,0
135,1,1,9,4
136,7,4,7,2
137,18,10,5,1
138,2,0,8,3
139,11,6,6,1
140,3,1,9,4
141,23,14,4,0
142,0,1,9,3
143,6,2,8,2
144,15,9,5,0
145,2,1,9,4
146,4,3,8,2
147,20,12,4,1
148,1,0,8,3
149,10,5,7,1
150,3,2,9,4
