Employee_ID,Age,Experience,Salary,Job_Satisfaction,Overtime_Hours,Leave_Days,Attendance,Attrition
EMP001,22,9,41049,4,3,0,98,Stay
EMP002,39,2,58698,2,8,5,57,Leave
EMP003,38,20,26739,4,7,1,95,Stay
EMP004,22,6,70753,5,6,2,90,Stay
EMP005,32,4,31078,5,2,2,93,Stay
EMP006,23,15,60142,4,7,0,96,Stay
EMP007,42,20,48700,4,2,0,98,Stay
EMP008,31,3,40256,4,7,2,95,Stay
EMP009,33,6,49260,5,4,2,99,Stay
EMP010,42,2,59920,3,10,8,60,Leave
EMP011,30,18,39392,5,1,1,88,Stay
EMP012,34,5,24337,1,17,10,61,Leave
EMP013,34,15,34363,5,3,1,99,Stay
EMP014,30,19,53077,5,6,1,90,Stay
EMP015,24,2,32185,4,3,3,97,Stay
EMP016,34,20,55674,5,1,0,98,Stay
EMP017,46,5,42293,1,12,11,60,Leave
EMP018,45,9,57806,4,2,2,98,Stay
EMP019,28,5,49504,4,1,2,95,Stay
EMP020,33,10,40692,4,4,0,89,Stay
EMP021,48,2,54911,1,10,12,72,Leave
EMP022,38,20,52730,4,4,2,94,Stay
EMP023,42,6,48711,3,15,6,62,Leave
EMP024,32,1,63555,4,4,0,89,Stay
EMP025,23,4,24417,1,13,6,71,Leave
EMP026,43,16,39040,4,8,1,100,Stay
EMP027,35,7,31181,4,7,2,94,Stay
EMP028,45,2,69129,4,1,3,99,Stay
EMP029,25,8,37556,4,8,1,94,Stay
EMP030,36,8,29940,5,2,0,98,Stay
EMP031,48,1,26112,1,10,11,70,Leave
EMP032,34,2,35789,5,1,3,92,Stay
EMP033,47,8,38694,2,19,12,59,Leave
EMP034,28,2,62957,4,6,0,88,Stay
EMP035,38,17,35317,4,2,1,89,Stay
EMP036,43,8,51461,4,4,0,97,Stay
EMP037,43,19,62042,5,5,1,98,Stay
EMP038,29,5,45938,1,18,9,69,Leave
EMP039,24,1,55034,4,2,1,96,Stay
EMP040,33,3,41009,5,5,1,95,Stay
EMP041,44,5,54664,1,18,9,76,Leave
EMP042,26,9,32564,4,3,2,92,Stay
EMP043,44,11,38342,5,8,2,88,Stay
EMP044,35,9,27889,4,6,1,98,Stay
EMP045,27,12,48956,3,19,11,72,Leave
EMP046,24,5,60755,4,6,1,94,Stay
EMP047,31,12,77174,4,6,1,98,Stay
EMP048,25,12,76125,5,3,1,90,Stay
EMP049,47,3,47020,1,10,10,80,Leave
EMP050,47,11,36263,2,10,6,67,Leave
EMP051,49,8,34577,1,15,10,64,Leave
EMP052,49,4,34609,1,18,8,67,Leave
EMP053,24,9,48012,5,6,0,89,Stay
EMP054,30,3,58049,2,8,6,74,Leave
EMP055,45,11,53599,4,7,1,92,Stay
EMP056,35,1,59073,4,6,3,89,Stay
EMP057,32,10,40572,3,9,9,71,Leave
EMP058,35,11,51371,5,3,1,94,Stay
EMP059,34,6,65338,5,7,0,92,Stay
EMP060,35,19,64758,5,8,3,95,Stay
EMP061,38,16,77018,4,2,2,96,Stay
EMP062,41,11,31120,4,5,1,100,Stay
EMP063,22,2,41046,5,2,3,94,Stay
EMP064,40,4,45164,2,14,8,59,Leave
EMP065,22,4,76014,5,4,1,100,Stay
EMP066,38,8,23291,3,11,6,69,Leave
EMP067,36,17,61629,5,8,3,96,Stay
EMP068,27,16,54495,5,4,2,100,Stay
EMP069,37,11,35679,2,15,6,77,Leave
EMP070,30,11,45952,4,3,1,91,Stay
EMP071,26,7,29209,5,7,2,96,Stay
EMP072,23,7,79584,5,7,0,100,Stay
EMP073,37,1,48052,5,7,3,96,Stay
EMP074,39,13,59534,1,15,8,63,Leave
EMP075,22,13,47028,5,3,3,90,Stay
EMP076,39,1,45822,3,17,5,57,Leave
EMP077,26,15,36909,4,5,3,93,Stay
EMP078,32,11,74887,5,5,3,92,Stay
EMP079,37,1,55351,1,13,8,75,Leave
EMP080,42,2,74429,4,4,1,88,Stay
EMP081,29,5,56035,4,4,3,99,Stay
EMP082,33,6,64707,4,3,2,89,Stay
EMP083,31,19,69390,5,7,1,89,Stay
EMP084,42,8,31678,5,2,0,93,Stay
EMP085,43,12,29519,5,1,3,95,Stay
EMP086,33,15,71354,4,7,1,99,Stay
EMP087,42,9,65364,5,8,3,99,Stay
EMP088,32,8,79442,4,5,3,91,Stay
EMP089,40,10,44837,2,8,12,65,Leave
EMP090,28,12,77286,5,6,2,97,Stay
EMP091,30,9,20665,3,11,6,62,Leave
EMP092,37,9,35749,3,15,12,69,Leave
EMP093,24,5,34522,2,19,8,64,Leave
EMP094,33,16,61272,5,7,2,93,Stay
EMP095,30,5,36475,1,9,8,65,Leave
EMP096,39,6,37552,4,8,2,99,Stay
EMP097,38,20,43546,4,4,2,91,Stay
EMP098,31,1,71400,4,5,0,88,Stay
EMP099,44,5,66803,5,2,0,97,Stay
EMP100,37,15,47328,4,1,2,95,Stay
