Employee_ID,Late_Count,Leave_Days,Working_Hours,Overtime_Hours
201,1,0,9,3
202,16,9,5,0
203,2,1,8,2
204,22,12,4,1
205,3,2,8,3
206,14,7,6,1
207,0,1,9,4
208,5,2,8,2
209,19,11,5,0
210,2,0,9,3
211,11,6,7,1
212,1,1,8,3
213,4,2,8,2
214,21,13,4,0
215,3,1,9,4
216,7,4,7,2
217,17,10,5,1
218,2,1,8,3
219,13,7,6,0
220,1,0,9,4
221,23,14,3,0
222,4,2,8,3
223,8,5,7,1
224,2,1,9,2
225,15,8,5,0
226,3,2,8,4
227,18,9,5,1
228,0,0,9,5
229,6,3,8,2
230,20,12,4,0
231,2,1,9,3
232,10,5,7,1
233,1,0,8,2
234,24,15,3,0
235,5,2,8,3
236,12,6,6,1
237,3,1,9,4
238,16,9,5,0
239,2,2,8,2
240,9,4,7,1
241,21,13,4,0
242,1,1,9,3
243,4,2,8,2
244,14,8,6,1
245,3,0,9,4
246,18,10,5,0
247,2,1,8,3
248,7,3,7,2
249,22,14,4,0
250,1,0,9,5
